X       ,Y       ,,Vel
0.000000,0.000000,,9.682458
0.074004,0.042002,,8.461374
0.135789,0.081794,,7.296329
0.185720,0.119441,,6.194812
0.224152,0.155008,,5.170455
0.251432,0.188558,,4.248494
0.267894,0.220150,,3.475782
0.273862,0.249844,,2.932769
0.269650,0.277697,,2.720069
0.255565,0.303764,,2.877015
0.231903,0.328098,,3.324634
0.198950,0.350751,,3.944118
0.156986,0.371774,,4.650491
0.106281,0.391216,,5.396153
0.047097,0.409124,,6.155727
-0.020312,0.425544,,6.915414
-0.095698,0.440521,,7.667458
-0.178822,0.454098,,8.407368
-0.269453,0.466317,,9.132508
-0.367365,0.477219,,9.841338
-0.472340,0.486843,,10.532989
-0.584165,0.495228,,11.207025
-0.702636,0.502411,,11.863285
-0.827552,0.508428,,12.501797
-0.958721,0.513313,,13.122710
-1.095955,0.517102,,13.726264
-1.239072,0.519826,,14.312751
-1.387895,0.521518,,14.882508
-1.542254,0.522208,,15.435895
-1.701982,0.521927,,15.973289
-1.866918,0.520704,,16.495079
-2.036906,0.518567,,17.001657
-2.211794,0.515544,,17.493417
-2.391436,0.511661,,17.970752
-2.575688,0.506943,,18.434052
-2.764413,0.501417,,18.883701
-2.957476,0.495106,,19.320077
-3.154748,0.488033,,19.743552
-3.356101,0.480222,,20.154492
-3.561413,0.471695,,20.553251
-3.770566,0.462473,,20.940180
-3.983445,0.452577,,21.315619
-4.199937,0.442027,,21.679898
-4.419935,0.430843,,22.033343
-4.643332,0.419045,,22.376269
-4.870028,0.406649,,22.708982
-5.099922,0.393675,,23.031782
-5.332920,0.380139,,23.344958
-5.568928,0.366059,,23.648795
-5.807856,0.351451,,23.943566
-6.049616,0.336330,,24.229540
-6.294123,0.320712,,24.506976
-6.541295,0.304613,,24.776126
-6.791051,0.288045,,25.037236
-7.043315,0.271024,,25.290543
-7.298011,0.253563,,25.536280
-7.555067,0.235676,,25.774670
-7.814410,0.217374,,26.005932
-8.075973,0.198671,,26.230279
-8.339690,0.179578,,26.447914
-8.605495,0.160108,,26.659040
-8.873325,0.140271,,26.863848
-9.143121,0.120078,,27.062527
-9.414823,0.099541,,27.255260
-9.688374,0.078669,,27.442224
-9.963718,0.057473,,27.623592
-10.240802,0.035962,,27.799529
-10.519574,0.014146,,27.970199
-10.799982,0.000000,,28.064594
-11.081978,0.011200,,28.218120
-11.365514,0.021113,,28.367689
-11.650544,0.029778,,28.513370
-11.937023,0.037233,,28.655236
-12.224908,0.043513,,28.793362
-12.514157,0.048655,,28.927822
-12.804727,0.052691,,29.058691
-13.096581,0.055656,,29.186046
-13.389679,0.057581,,29.309963
-13.683984,0.058498,,29.430516
-13.979460,0.058437,,29.547784
-14.276072,0.057427,,29.661840
-14.573786,0.055497,,29.772760
-14.872567,0.052674,,29.880617
-15.172386,0.048985,,29.985486
-15.473210,0.044456,,30.087439
-15.775009,0.039113,,30.186548
-16.077754,0.032979,,30.282883
-16.381417,0.026079,,30.376514
-16.685970,0.018435,,30.467509
-16.991387,0.010069,,30.555937
-17.297641,0.001005,,30.641862
-17.604707,0.000000,,30.711312
-17.912561,0.005201,,30.788326
-18.221180,0.009295,,30.863441
-18.530540,0.012316,,30.936687
-18.840620,0.014296,,31.008094
-19.151396,0.015265,,31.077695
-19.462850,0.015255,,31.145522
-19.774960,0.014295,,31.211606
-20.087707,0.012413,,31.275983
-20.401071,0.009637,,31.338684
-20.715035,0.005993,,31.399744
-21.029579,0.001508,,31.459197
-21.344687,0.000000,,31.512381
-21.660342,0.003046,,31.566168
-21.976527,0.005051,,31.618693
-22.293227,0.006044,,31.669971
-22.610426,0.006057,,31.720019
-22.928109,0.005119,,31.768855
-23.246261,0.003259,,31.816495
-23.564869,0.000504,,31.862960
-23.883918,0.000000,,31.905778
-24.203396,0.002232,,31.948045
-24.523290,0.003447,,31.989374
-24.843587,0.003675,,32.029773
-25.164275,0.002946,,32.069249
-25.485342,0.001287,,32.107814
-25.806777,0.000000,,32.144015
-26.128569,0.001716,,32.179307
-26.450708,0.002431,,32.213857
-26.773182,0.002173,,32.247668
-27.095982,0.000973,,32.280744
-27.419098,0.000000,,32.311978
-27.742521,0.001501,,32.342301
-28.066241,0.002007,,32.372026
-28.390249,0.001546,,32.401151
-28.714537,0.000149,,32.429678
-29.039097,0.000000,,32.456358
-29.363919,0.001594,,32.482322
-29.688997,0.002189,,32.507819
-30.014323,0.001816,,32.532844
-30.339889,0.000503,,32.557393
-30.665687,0.000000,,32.580282
-30.991712,0.001554,,32.602542
-31.317957,0.002111,,32.624444
-31.644413,0.001700,,32.645980
-31.971077,0.000351,,32.667144
-32.297940,0.000000,,32.686725
-32.624997,0.001571,,32.705788
-32.952243,0.002144,,32.724587
-33.279671,0.001750,,32.743114
-33.607276,0.000416,,32.761357
-33.935054,0.000000,,32.778121
-34.262998,0.001564,,32.794445
-34.591103,0.002130,,32.810587
-34.919366,0.001728,,32.826535
-35.247780,0.000388,,32.842276
-35.576342,0.000000,,32.856610
-35.905048,0.001567,,32.870579
-36.233892,0.002136,,32.884436
-36.562870,0.001737,,32.898167
-36.891980,0.000400,,32.911758
-37.221216,0.000000,,32.924009
-37.550575,0.001565,,32.935957
-37.880053,0.002133,,32.947854
-38.209647,0.001733,,32.959682
-38.539353,0.000395,,32.971427
-38.869168,0.000000,,32.981888
-39.199089,0.001566,,32.992101
-39.529112,0.002134,,33.002313
-39.859234,0.001735,,33.012507
-40.189452,0.000397,,33.022665
-40.519764,0.000000,,33.031591
-40.850167,0.001566,,33.040312
-41.180658,0.002134,,33.049078
-41.511233,0.001734,,33.057869
-41.841892,0.000396,,33.066666
-42.172631,0.000000,,33.074272
-42.503447,0.001566,,33.081714
-42.834339,0.002134,,33.089237
-43.165305,0.001735,,33.096823
-43.496341,0.000397,,33.104451
-43.827446,0.000000,,33.110924
-44.158619,0.001566,,33.117266
-44.489856,0.002134,,33.123723
-44.821155,0.001735,,33.130274
-45.152516,0.000397,,33.136898
-45.483936,0.000000,,33.142398
-45.815414,0.001566,,33.147796
-46.146947,0.002134,,33.153338
-46.478534,0.001735,,33.159000
-46.810174,0.000397,,33.164762
-47.141864,0.000000,,33.169426
-47.473603,0.001566,,33.174014
-47.805391,0.002134,,33.178769
-48.137225,0.001735,,33.183668
-48.469104,0.000397,,33.188689
-48.801026,0.000000,,33.192636
-49.132991,0.001566,,33.196527
-49.464997,0.002134,,33.200607
-49.797042,0.001735,,33.204851
-50.129126,0.000397,,33.209236
-50.461248,0.000000,,33.212567
-50.793406,0.001566,,33.215861
-51.125600,0.002134,,33.219360
-51.457827,0.001735,,33.223041
-51.790088,0.000397,,33.226881
-52.122381,0.000000,,33.229682
-52.454705,0.001566,,33.232463
-52.787059,0.002134,,33.235464
-53.119443,0.001735,,33.238662
-53.451855,0.000397,,33.242033
-53.784295,0.000000,,33.244380
-54.116762,0.001566,,33.246720
-54.449255,0.002134,,33.249294
-54.781772,0.001735,,33.252076
-55.114315,0.000397,,33.255044
-55.446881,0.000000,,33.257001
-55.779470,0.001566,,33.258963
-56.112081,0.002134,,33.261169
-56.444715,0.001735,,33.263595
-56.777369,0.000397,,33.266218
-57.110043,0.000000,,33.267839
-57.442737,0.001566,,33.269476
-57.775451,0.002134,,33.271367
-58.108183,0.001735,,33.273487
-58.440933,0.000397,,33.275813
-58.773700,0.000000,,33.277147
-59.106485,0.001566,,33.278504
-59.439286,0.002134,,33.280124
-59.772103,0.001735,,33.281982
-60.104935,0.000397,,33.284052
-60.437783,0.000000,,33.285139
-60.770645,0.001566,,33.286257
-61.103521,0.002134,,33.287645
-61.436411,0.001735,,33.289276
-61.769314,0.000397,,33.291128
-62.102230,0.000000,,33.292003
-62.435159,0.001566,,33.292914
-62.768100,0.002134,,33.294102
-63.101052,0.001735,,33.295540
-63.434016,0.000397,,33.297204
-63.766991,0.000000,,33.297896
-64.099977,0.001566,,33.298631
-64.432973,0.002134,,33.299648
-64.765980,0.001735,,33.300920
-65.098996,0.000397,,33.302422
-65.432021,0.000000,,33.302958
-65.765056,0.001566,,33.303541
-66.098100,0.002134,,33.304410
-66.431153,0.001735,,33.305539
-66.764214,0.000397,,33.306902
-67.097283,0.000000,,33.307304
-67.430360,0.001566,,33.307757
-67.763445,0.002134,,33.308500
-68.096537,0.001735,,33.309506
-68.429636,0.000397,,33.310750
-68.762743,0.000000,,33.311036
-69.095856,0.001566,,33.311377
-69.428976,0.002134,,33.312011
-69.762102,0.001735,,33.312912
-70.095234,0.000397,,33.314054
-70.428373,0.000000,,33.314241
-70.761517,0.001566,,33.314486
-71.094667,0.002134,,33.315027
-71.427823,0.001735,,33.315837
-71.760984,0.000397,,33.316891
-72.094150,0.000000,,33.316994
-72.427321,0.001566,,33.317156
-72.760497,0.002134,,33.317617
-73.093677,0.001735,,33.318349
-73.426863,0.000397,,33.319328
-73.760052,0.000000,,33.319357
-74.093246,0.001566,,33.319448
-74.426444,0.002134,,33.319841
-74.759647,0.001735,,33.320506
-75.092853,0.000397,,33.321420
-75.426063,0.000000,,33.321387
-75.759276,0.001566,,33.321417
-76.092494,0.002134,,33.321750
-76.425714,0.001735,,33.322359
-76.758938,0.000397,,33.323217
-77.092166,0.000000,,33.323129
-77.425396,0.001566,,33.323108
-77.758630,0.002134,,33.323390
-78.091867,0.001735,,33.323949
-78.425106,0.000397,,33.324760
-78.758348,0.000000,,33.324626
-79.091594,0.001566,,33.324560
-79.424841,0.002134,,33.324798
-79.758092,0.001735,,33.325315
-80.091344,0.000397,,33.326085
-80.424600,0.000000,,33.325911
-80.757857,0.001566,,33.325806
-81.091117,0.002134,,33.326008
-81.424379,0.001735,,33.326488
-81.757643,0.000397,,33.327223
-82.090909,0.000000,,33.327015
-82.424178,0.001566,,33.326877
-82.757448,0.002134,,33.327046
-83.090720,0.001735,,33.327495
-83.423994,0.000397,,33.328200
-83.757270,0.000000,,33.327963
-84.090547,0.001566,,33.327796
-84.423826,0.002134,,33.327938
-84.757107,0.001735,,33.328361
-85.090389,0.000397,,33.329039
-85.423673,0.000000,,33.328777
-85.756958,0.001566,,33.328586
-86.090245,0.002134,,33.328704
-86.423533,0.001735,,33.329103
